"date" "lat_aod" "long_aod" "value_aod" "lat_pm" "long_pm" "value_pm"
"135" 2007-05-08 33.7 -118.2 0.161814108490944 33.79236 -118.17533 11.5
"136" 2007-05-09 33.7 -118.2 0.194940730929375 33.79236 -118.17533 13.3
"137" 2007-05-10 33.7 -118.2 0.071138933300972 33.79236 -118.17533 13.7
"138" 2007-05-27 33.7 -118.2 0.185026958584785 33.79236 -118.17533 12.3
"139" 2007-05-29 33.7 -118.2 0.119902029633522 33.79236 -118.17533 8.5
"140" 2007-05-30 33.7 -118.2 0.140535667538643 33.79236 -118.17533 12.5
"141" 2007-05-31 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 14.9
"142" 2007-06-08 33.7 -118.2 0.142550647258759 33.79236 -118.17533 9.7
"143" 2007-06-16 33.7 -118.2 0.217831268906593 33.79236 -118.17533 12.9
"144" 2007-06-17 33.7 -118.2 0.121191620826721 33.79236 -118.17533 14.1
"145" 2007-06-18 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 11.5
"146" 2007-06-21 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 11.7
"147" 2007-06-25 33.7 -118.2 0.141825243830681 33.79236 -118.17533 13.2
"148" 2007-06-29 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 12.6
"149" 2007-07-03 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 11.5
"150" 2007-07-08 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 10.9
"151" 2007-07-12 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 6.9
"152" 2007-07-16 33.7 -118.2 0.140535667538643 33.79236 -118.17533 14.2
"153" 2007-07-20 33.7 -118.2 0.0350300520658493 33.79236 -118.17533 10.3
"154" 2007-07-25 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 15.5
"155" 2007-07-29 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 11.6
"156" 2007-08-02 33.7 -118.2 0.194940730929375 33.79236 -118.17533 16.9
"157" 2007-08-06 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 9.3
"158" 2007-08-19 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 15.5
"159" 2007-08-24 33.7 -118.2 0.217831268906593 33.79236 -118.17533 15.8
"160" 2007-09-01 33.7 -118.2 0.161814108490944 33.79236 -118.17533 12.7
"161" 2007-09-02 33.7 -118.2 0.172695115208626 33.79236 -118.17533 14.3
"162" 2007-09-03 33.7 -118.2 0.130138233304024 33.79236 -118.17533 17.2
"163" 2007-09-04 33.7 -118.2 -0.0439580827951431 33.79236 -118.17533 12.2
"164" 2007-09-12 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 12.3
"165" 2007-09-13 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 11.1
"166" 2007-09-14 33.7 -118.2 -0.0294500589370728 33.79236 -118.17533 10.3
"167" 2007-09-22 33.7 -118.2 0.140535667538643 33.79236 -118.17533 3
"168" 2007-09-23 33.7 -118.2 0.0264058411121368 33.79236 -118.17533 5.9
